CustomerID,purchase_flag,morning,afternoon,evening,night,is_weekend,StockCode,Country,Recency,Frequency,Monetary,kmeans_cluster,gmm_cluster
12346.0,0,1.0,0.0,0.0,0.0,0.0,411.1955988325603,20.861861564763192,1.6486977500659838,-1.188393941836522,3.1245667859105515,0,2
12347.0,1,0.2527472527472527,0.7472527472527473,0.0,0.0,0.0,21.79206042148869,23.681318584592564,-1.811237524399272,1.2255804300757394,1.37901086667163,3,2
12348.0,1,0.3548387096774194,0.0967741935483871,0.5483870967741935,0.0,0.0967741935483871,24.018406311780925,32.913985401459854,0.2779547444798519,0.7716193745296961,0.7553308487587385,6,0
12349.0,1,1.0,0.0,0.0,0.0,0.0,26.878190445303908,23.06496042216359,-0.6866574420982927,-1.188393941836522,0.7387679684222678,0,7
12350.0,1,0.0,1.0,0.0,0.0,0.0,18.24606570282181,33.76791783380019,1.594997265964596,-1.188393941836522,-0.587241759838196,1,2
12352.0,1,0.0,1.0,0.0,0.0,0.0,33.77352498393364,33.76791783380019,-0.2703938849824946,1.3114658779092347,0.9980819114185272,7,2
12353.0,1,0.0,1.0,0.0,0.0,0.0,21.79295001768215,26.72847941888181,1.1680747641013238,-1.188393941836522,-1.7882029991322732,1,1
12354.0,1,0.0,1.0,0.0,0.0,0.0,24.637295045001498,24.83201290843082,1.2956435948019969,-1.188393941836522,0.3689414368855054,1,1
12355.0,1,0.0,1.0,0.0,0.0,0.0,34.26031160027068,26.72847941888181,1.2151699500307866,-1.188393941836522,-0.3184245615685328,1,1
12356.0,1,0.6440677966101694,0.3559322033898305,0.0,0.0,0.0,22.52630727189353,22.97029593943565,-0.5675716748719202,0.4697482781842503,1.080398642218744,3,2
12357.0,1,0.0,1.0,0.0,0.0,1.0,20.09737348454118,30.659397066811515,-0.3301698216605926,-1.188393941836522,1.625213412535362,4,4
12358.0,1,1.0,0.0,0.0,0.0,0.0,37.54599788025803,25.624824120603016,-1.811237524399272,-0.0514519638758358,0.4299057574034132,0,7
12359.0,1,0.0,1.0,0.0,0.0,0.0,31.118232395489738,22.39278606965174,0.0765061234318647,0.7716193745296961,1.6360643128403236,7,1
12360.0,1,0.5813953488372093,0.4186046511627907,0.0,0.0,0.0,23.30675671499263,25.624824120603016,-0.0059300349062143,0.4697482781842503,1.0414219063077923,3,2
